Symbol,Div yield % (indicated),Price,Change %,Volume,Rel Volume,Market cap,P/E,EPS dil TTM,EPS dil growth TTM YoY,Div yield % TTM,Sector,Analyst Rating
BOK Bank of Khyber D,9.79%,30.46 PKR,−6.79%,4.9 K,0.41,37.85 B PKR,6.06,5.02 PKR,+60.87%,9.79%,Finance,No rating
BAFL Bank Alfalah Limited D,9.73%,106.21 PKR,−1.57%,5 M,2.88,170.18 B PKR,6.03,17.62 PKR,−30.26%,9.27%,Finance,Strong buy
BWHL Baluchistan Wheels Limited D,9.71%,172.15 PKR,−1.65%,7.19 K,0.74,2.33 B PKR,5.65,30.45 PKR,+61.52%,9.71%,Producer manufacturing,No rating
BOP Bank of Punjab D,9.70%,24.26 PKR,−5.86%,35.92 M,1.49,84.31 B PKR,5.16,4.71 PKR,+17.62%,10.87%,Finance,No rating
IMAGE Image Pakistan Limited D,9.66%,19.58 PKR,−5.46%,233.51 K,1.24,4.77 B PKR,5.56,3.52 PKR,−8.53%,9.66%,Process industries,No rating
ABL Allied Bank Limited D,9.37%,167.93 PKR,−1.61%,96.98 K,1.40,195.43 B PKR,5.29,31.73 PKR,−18.16%,9.37%,Finance,Strong buy
JGICL Jubilee General Insurance Co. Ltd. D,9.23%,61.98 PKR,−4.63%,22.15 K,0.33,12.9 B PKR,2.92,21.20 PKR,+18.80%,8.46%,Finance,No rating
NPL Nishat Power Limited D,9.00%,63.05 PKR,−5.42%,3.67 M,0.65,23.6 B PKR,7.48,8.43 PKR,+858.16%,16.50%,Utilities,Strong buy
HABSM Habib Sugar Mills Limited D,8.96%,65.17 PKR,−2.72%,8.58 K,0.79,9.04 B PKR,5.50,11.84 PKR,−2.76%,8.96%,Process industries,No rating
ARPL Archroma Pakistan Limited D,8.85%,333.04 PKR,−1.73%,2.4 K,0.33,11.71 B PKR,9.12,36.54 PKR,—,8.85%,Process industries,No rating
EFUG EFU General Insurance Ltd. D,8.69%,115.01 PKR,−0.02%,10.52 K,2.91,23.01 B PKR,4.07,28.24 PKR,+49.31%,8.69%,Finance,No rating
SEPL Security Papers Limited. D,8.66%,130.00 PKR,−2.05%,14.92 K,0.59,7.86 B PKR,6.30,20.65 PKR,−20.80%,8.66%,Process industries,No rating
BWCL Bestway Cement Limited D,8.57%,413.02 PKR,−6.88%,31.15 K,3.23,264.46 B PKR,10.48,39.40 PKR,+27.30%,8.12%,Non-energy minerals,No rating
CSAP Crescent Steel & Allied Products Ltd D,8.29%,83.76 PKR,−7.46%,355.54 K,0.69,7.03 B PKR,8.32,10.07 PKR,+84.84%,8.29%,Non-energy minerals,No rating
JLICL Jubilee Life Insurance Co. Ltd. D,8.28%,157.22 PKR,+0.15%,241,0.03,15.75 B PKR,6.32,24.87 PKR,−3.05%,8.28%,Finance,No rating
NATF National Foods Ltd. (Pakistan) D,8.21%,331.07 PKR,−2.98%,148.53 K,2.49,79.55 B PKR,3.08,107.45 PKR,"+1,163.87%",7.91%,Consumer non-durables,Strong buy
HBL Habib Bank Limited D,7.91%,243.05 PKR,−3.89%,3.14 M,1.83,370.97 B PKR,5.34,45.48 PKR,+14.13%,7.22%,Finance,Strong buy
FABL Faysal Bank Limited D,7.82%,78.61 PKR,−5.43%,1.92 M,1.46,126.15 B PKR,5.21,15.08 PKR,−4.20%,8.42%,Finance,Strong buy
SNBL Soneri Bank Limited D,7.79%,18.00 PKR,−6.49%,2.85 M,8.05,21.22 B PKR,4.35,4.13 PKR,−22.77%,15.58%,Finance,No rating
FIMM First Imrooz Modaraba D,7.79%,192.66 PKR,+7.03%,30,2.17,—,—,—,—,—,Distribution services,No rating
FHAM First Habib Modaraba D,7.79%,28.76 PKR,−0.48%,5.15 K,0.38,3.2 B PKR,3.92,7.34 PKR,+18.80%,7.79%,Finance,No rating
PNSC Pakistan National Shipping Corporation D,7.77%,424.60 PKR,−0.08%,55.12 K,1.10,84.18 B PKR,4.69,90.61 PKR,−5.86%,5.49%,Transportation,No rating
EFERT Engro Fertilizers Ltd. D,7.59%,190.67 PKR,−3.58%,3.71 M,1.89,264.06 B PKR,11.25,16.95 PKR,−27.67%,9.61%,Process industries,Buy
SINDM Sindh Modaraba D,7.47%,17.78 PKR,−1.60%,7.45 K,0.65,—,—,—,—,—,Finance,No rating
AHCL Arif Habib Corporation Limited D,7.47%,12.64 PKR,−5.60%,2.13 M,1.02,56.44 B PKR,4.95,2.55 PKR,+24.06%,7.47%,Utilities,No rating
FFC Fauji Fertilizer Co. Ltd. D,7.42%,483.74 PKR,−2.95%,1.99 M,1.04,717.27 B PKR,8.28,58.44 PKR,−9.03%,9.93%,Process industries,Buy
NESTLE Nestle Pakistan Ltd. D,7.19%,"7,532.62 PKR",−2.71%,714,1.57,351.11 B PKR,19.81,380.25 PKR,+15.58%,4.28%,Consumer non-durables,No rating
MTL Millat Tractors Limited D,7.08%,497.88 PKR,+0.64%,307.67 K,5.10,98.7 B PKR,17.41,28.59 PKR,−35.68%,12.13%,Producer manufacturing,Neutral
LSEVL LSE Ventures Limited D,6.93%,7.51 PKR,+4.02%,2.17 M,3.02,—,—,—,—,—,Finance,No rating
